experiment_id,experiment_family,experiment_role,model_name,feature_set,config_label,params,roc_auc_train,roc_auc_test,pr_auc_test,accuracy_test,precision_test,recall_test,specificity_test,f1_test,cv_roc_auc_mean,cv_roc_auc_ci_low,cv_roc_auc_ci_high,cv_accuracy_mean,cv_accuracy_ci_low,cv_accuracy_ci_high,train_validation_gap,timestamp,is_best_config
random_forest_03,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=200, max_depth=4, min_samples_leaf=5","{""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.9751811594202898,0.8731778425655976,0.885042108956827,0.7692307692307693,0.7916666666666666,0.7755102040816326,0.7619047619047619,0.7835051546391752,0.9202059496567507,0.8676558576996165,0.972756041613885,0.8294573643410853,0.7658272501309087,0.8930874785512619,0.05497520976353909,2026-03-26T22:09:25.632558+00:00,True
random_forest_12,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=400, max_depth=4, min_samples_leaf=5","{""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 400}",0.9770833333333333,0.8765792031098153,0.8874847268048337,0.7582417582417582,0.7872340425531915,0.7551020408163265,0.7619047619047619,0.7708333333333334,0.9179633867276887,0.8640256837206117,0.9719010897347657,0.8246954595791804,0.7713901408775655,0.8780007782807954,0.05911994660564457,2026-03-26T22:09:49.553598+00:00,False
random_forest_11,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=400, max_depth=4, min_samples_leaf=3","{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 400}",0.9830615942028985,0.8746355685131195,0.8838691066610711,0.7692307692307693,0.7916666666666666,0.7755102040816326,0.7619047619047619,0.7835051546391752,0.9152402745995424,0.8597644642097914,0.9707160849892934,0.8294573643410853,0.7533207499749434,0.9055939787072272,0.06782131960335613,2026-03-26T22:09:45.800243+00:00,False
random_forest_17,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=400, max_depth=None, min_samples_leaf=3","{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 400}",0.9966485507246378,0.8717201166180758,0.8813530057095096,0.7692307692307693,0.7916666666666666,0.7755102040816326,0.7619047619047619,0.7835051546391752,0.9152402745995424,0.8525884530526104,0.9778920961464743,0.8246954595791806,0.7569499828695194,0.8924409362888417,0.08140827612509538,2026-03-26T22:10:09.210950+00:00,False
random_forest_14,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=400, max_depth=8, min_samples_leaf=3","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 400}",0.9964673913043479,0.8717201166180758,0.8840013134905045,0.7692307692307693,0.7916666666666666,0.7755102040816326,0.7619047619047619,0.7835051546391752,0.9152173913043479,0.851777755906936,0.9786570267017597,0.8246954595791806,0.7569499828695194,0.8924409362888417,0.08125000000000004,2026-03-26T22:09:57.350929+00:00,False
random_forest_05,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=200, max_depth=8, min_samples_leaf=3","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.996286231884058,0.8668610301263363,0.8827699538327801,0.7582417582417582,0.7872340425531915,0.7551020408163265,0.7619047619047619,0.7708333333333334,0.9148054919908468,0.8549321562868358,0.9746788276948578,0.8199335548172757,0.7520681732813498,0.8877989363532016,0.08148073989321114,2026-03-26T22:09:29.694985+00:00,False
random_forest_15,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=400, max_depth=8, min_samples_leaf=5","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 400}",0.9863224637681159,0.8726919339164237,0.8866897793126647,0.7582417582417582,0.7872340425531915,0.7551020408163265,0.7619047619047619,0.7708333333333334,0.9147597254004577,0.8587063082221598,0.9708131425787556,0.8342192691029899,0.7757322310215136,0.8927063071844663,0.07156273836765825,2026-03-26T22:10:01.406468+00:00,False
random_forest_18,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=400, max_depth=None, min_samples_leaf=5","{""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 400}",0.986231884057971,0.8731778425655977,0.8870888254879161,0.7582417582417582,0.7872340425531915,0.7551020408163265,0.7619047619047619,0.7708333333333334,0.9147597254004577,0.8587063082221598,0.9708131425787556,0.8342192691029899,0.7757322310215136,0.8927063071844663,0.07147215865751333,2026-03-26T22:10:13.028190+00:00,False
random_forest_08,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=200, max_depth=None, min_samples_leaf=3","{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9965579710144927,0.8683187560738581,0.8834754689497232,0.7582417582417582,0.7872340425531915,0.7551020408163265,0.7619047619047619,0.7708333333333334,0.9143478260869566,0.8563870362221838,0.9723086159517295,0.8199335548172757,0.7520681732813498,0.8877989363532016,0.08221014492753609,2026-03-26T22:09:36.015051+00:00,False
random_forest_02,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=200, max_depth=4, min_samples_leaf=3","{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.98125,0.8673469387755102,0.8753373504828645,0.7582417582417582,0.7755102040816326,0.7755102040816326,0.7380952380952381,0.7755102040816326,0.9134782608695652,0.8611883684667767,0.9657681532723537,0.8199335548172757,0.7664759323647358,0.8733911772698156,0.06777173913043477,2026-03-26T22:09:23.481165+00:00,False
random_forest_06,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=200, max_depth=8, min_samples_leaf=5","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.9853260869565217,0.8775510204081634,0.8928929385580935,0.7582417582417582,0.7872340425531915,0.7551020408163265,0.7619047619047619,0.7708333333333334,0.9133867276887871,0.8599565699424083,0.966816885435166,0.8246954595791804,0.7602559417237944,0.8891349774345665,0.07193935926773454,2026-03-26T22:09:31.699788+00:00,False
random_forest_09,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=200, max_depth=None, min_samples_leaf=5","{""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.9854166666666666,0.8785228377065112,0.8933971894459762,0.7582417582417582,0.7872340425531915,0.7551020408163265,0.7619047619047619,0.7708333333333334,0.9133867276887871,0.8599565699424083,0.966816885435166,0.8246954595791804,0.7602559417237944,0.8891349774345665,0.07202993897787946,2026-03-26T22:09:38.300032+00:00,False
random_forest_10,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=400, max_depth=4, min_samples_leaf=1","{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 400}",0.9876811594202899,0.8741496598639455,0.8844716021890133,0.7582417582417582,0.7872340425531915,0.7551020408163265,0.7619047619047619,0.7708333333333334,0.9111670480549199,0.8565452104860107,0.965788885623829,0.8294573643410852,0.7731120439672434,0.885802684714927,0.07651411136537001,2026-03-26T22:09:42.127636+00:00,False
random_forest_13,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=400, max_depth=8, min_samples_leaf=1","{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 400}",1.0,0.8663751214771622,0.8813744721505354,0.7582417582417582,0.7755102040816326,0.7755102040816326,0.7380952380952381,0.7755102040816326,0.911121281464531,0.83668976467068,0.9855527982583819,0.8294573643410853,0.7731120439672435,0.8858026847149271,0.08887871853546903,2026-03-26T22:09:53.479145+00:00,False
random_forest_16,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=400, max_depth=None, min_samples_leaf=1","{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 400}",1.0,0.8620019436345968,0.8762934702458034,0.7582417582417582,0.7755102040816326,0.7755102040816326,0.7380952380952381,0.7755102040816326,0.9108466819221966,0.8416828696511666,0.9800104941932267,0.8294573643410853,0.7731120439672435,0.8858026847149271,0.08915331807780336,2026-03-26T22:10:05.302030+00:00,False
random_forest_01,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=200, max_depth=4, min_samples_leaf=1","{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.9856884057971015,0.8707482993197279,0.8849913675365679,0.7582417582417582,0.7755102040816326,0.7755102040816326,0.7380952380952381,0.7755102040816326,0.9089016018306635,0.8542747022931143,0.9635285013682127,0.8294573643410853,0.7731120439672435,0.8858026847149271,0.076786803966438,2026-03-26T22:09:21.493486+00:00,False
random_forest_07,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=200, max_depth=None, min_samples_leaf=1","{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",1.0,0.8615160349854227,0.8753063854348561,0.7582417582417582,0.7755102040816326,0.7755102040816326,0.7380952380952381,0.7755102040816326,0.9084782608695653,0.8385390169308476,0.9784175048082829,0.8294573643410853,0.7731120439672435,0.8858026847149271,0.09152173913043471,2026-03-26T22:09:33.902306+00:00,False
random_forest_04,random_forest,mejora,Random forest multivariable,"[""age"", ""trestbps"", ""chol"", ""thalach"", ""oldpeak"", ""chol_age_ratio"", ""pressure_oldpeak_interaction"", ""maxhr_age_gap"", ""sex"", ""fbs"", ""exang"", ""cp"", ""restecg"", ""slope"", ""ca"", ""thal""]","n_estimators=200, max_depth=8, min_samples_leaf=1","{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",1.0,0.8634596695821185,0.8810625768396655,0.7582417582417582,0.7755102040816326,0.7755102040816326,0.7380952380952381,0.7755102040816326,0.9056979405034324,0.8306524695732161,0.9807434114336487,0.8199335548172757,0.77539457086042,0.8644725387741314,0.09430205949656756,2026-03-26T22:09:27.677077+00:00,False
