experiment_id,model_name,fpr,tpr,threshold
baseline_tarea4_04,Baseline logístico tarea4,0.0,0.0,inf
baseline_tarea4_04,Baseline logístico tarea4,0.0,0.02040816326530612,0.8011564336620193
baseline_tarea4_04,Baseline logístico tarea4,0.0,0.08163265306122448,0.7721408147956847
baseline_tarea4_04,Baseline logístico tarea4,0.0,0.12244897959183673,0.7547804833421942
baseline_tarea4_04,Baseline logístico tarea4,0.0,0.14285714285714285,0.7439447620649731
baseline_tarea4_04,Baseline logístico tarea4,0.0,0.1836734693877551,0.7402638567931282
baseline_tarea4_04,Baseline logístico tarea4,0.023809523809523808,0.1836734693877551,0.7365487754231331
baseline_tarea4_04,Baseline logístico tarea4,0.023809523809523808,0.22448979591836735,0.7327997364323661
baseline_tarea4_04,Baseline logístico tarea4,0.023809523809523808,0.24489795918367346,0.7252007430796416
baseline_tarea4_04,Baseline logístico tarea4,0.047619047619047616,0.2653061224489796,0.7135539998245835
baseline_tarea4_04,Baseline logístico tarea4,0.047619047619047616,0.32653061224489793,0.7096067471319154
baseline_tarea4_04,Baseline logístico tarea4,0.047619047619047616,0.3673469387755102,0.7056275406474253
baseline_tarea4_04,Baseline logístico tarea4,0.09523809523809523,0.40816326530612246,0.6975747048760256
baseline_tarea4_04,Baseline logístico tarea4,0.09523809523809523,0.42857142857142855,0.6935018385077755
baseline_tarea4_04,Baseline logístico tarea4,0.09523809523809523,0.5102040816326531,0.6852652470884986
baseline_tarea4_04,Baseline logístico tarea4,0.09523809523809523,0.5306122448979592,0.6811023896776314
baseline_tarea4_04,Baseline logístico tarea4,0.11904761904761904,0.5306122448979592,0.6769104318675999
baseline_tarea4_04,Baseline logístico tarea4,0.19047619047619047,0.5918367346938775,0.6467941502744349
baseline_tarea4_04,Baseline logístico tarea4,0.21428571428571427,0.5918367346938775,0.6379576422941697
baseline_tarea4_04,Baseline logístico tarea4,0.21428571428571427,0.6122448979591837,0.6290268597089258
baseline_tarea4_04,Baseline logístico tarea4,0.23809523809523808,0.6122448979591837,0.6200069955293493
baseline_tarea4_04,Baseline logístico tarea4,0.23809523809523808,0.6530612244897959,0.6154653457924539
baseline_tarea4_04,Baseline logístico tarea4,0.23809523809523808,0.673469387755102,0.583148640205669
baseline_tarea4_04,Baseline logístico tarea4,0.2619047619047619,0.673469387755102,0.5784659711021126
baseline_tarea4_04,Baseline logístico tarea4,0.2619047619047619,0.7142857142857143,0.5357838455449515
