experiment_id,model_name,precision,recall,threshold
baseline_tarea4_04,Baseline logístico tarea4,0.5384615384615384,1.0,0.10116468781380426
baseline_tarea4_04,Baseline logístico tarea4,0.5444444444444444,1.0,0.11603921023261594
baseline_tarea4_04,Baseline logístico tarea4,0.550561797752809,1.0,0.12209006641002768
baseline_tarea4_04,Baseline logístico tarea4,0.5568181818181818,1.0,0.13500804344728742
baseline_tarea4_04,Baseline logístico tarea4,0.5581395348837209,0.9795918367346939,0.14188925777700587
baseline_tarea4_04,Baseline logístico tarea4,0.5647058823529412,0.9795918367346939,0.14906076054866998
baseline_tarea4_04,Baseline logístico tarea4,0.5595238095238095,0.9591836734693877,0.1515168319899106
baseline_tarea4_04,Baseline logístico tarea4,0.5662650602409639,0.9591836734693877,0.16695624564771067
baseline_tarea4_04,Baseline logístico tarea4,0.573170731707317,0.9591836734693877,0.17237497210174166
baseline_tarea4_04,Baseline logístico tarea4,0.5875,0.9591836734693877,0.18652922575559375
baseline_tarea4_04,Baseline logístico tarea4,0.5974025974025974,0.9387755102040817,0.1894652050054937
baseline_tarea4_04,Baseline logístico tarea4,0.5921052631578947,0.9183673469387755,0.1984851346168685
baseline_tarea4_04,Baseline logístico tarea4,0.6,0.9183673469387755,0.20156267138488637
baseline_tarea4_04,Baseline logístico tarea4,0.6081081081081081,0.9183673469387755,0.20467574052633755
baseline_tarea4_04,Baseline logístico tarea4,0.6164383561643836,0.9183673469387755,0.20782437522049252
baseline_tarea4_04,Baseline logístico tarea4,0.6338028169014085,0.9183673469387755,0.21100859610367043
baseline_tarea4_04,Baseline logístico tarea4,0.6428571428571429,0.9183673469387755,0.22410129860653819
baseline_tarea4_04,Baseline logístico tarea4,0.6376811594202898,0.8979591836734694,0.23429351883613775
baseline_tarea4_04,Baseline logístico tarea4,0.6470588235294118,0.8979591836734694,0.23776157040676923
baseline_tarea4_04,Baseline logístico tarea4,0.6567164179104478,0.8979591836734694,0.24126478172199867
baseline_tarea4_04,Baseline logístico tarea4,0.676923076923077,0.8979591836734694,0.24480303240840084
baseline_tarea4_04,Baseline logístico tarea4,0.671875,0.8775510204081632,0.24837618658283253
baseline_tarea4_04,Baseline logístico tarea4,0.6825396825396826,0.8775510204081632,0.2556265829961372
baseline_tarea4_04,Baseline logístico tarea4,0.6935483870967742,0.8775510204081632,0.27053846766646666
baseline_tarea4_04,Baseline logístico tarea4,0.7049180327868853,0.8775510204081632,0.27819635615460714
baseline_tarea4_04,Baseline logístico tarea4,0.7,0.8571428571428571,0.28598602670304757
baseline_tarea4_04,Baseline logístico tarea4,0.6949152542372882,0.8367346938775511,0.28992951635289327
baseline_tarea4_04,Baseline logístico tarea4,0.7068965517241379,0.8367346938775511,0.3142493591002589
baseline_tarea4_04,Baseline logístico tarea4,0.7192982456140351,0.8367346938775511,0.3225973550684546
baseline_tarea4_04,Baseline logístico tarea4,0.7142857142857143,0.8163265306122449,0.34831325911177957
baseline_tarea4_04,Baseline logístico tarea4,0.7272727272727273,0.8163265306122449,0.3615224954376995
baseline_tarea4_04,Baseline logístico tarea4,0.7222222222222222,0.7959183673469388,0.37958389975513623
baseline_tarea4_04,Baseline logístico tarea4,0.7358490566037735,0.7959183673469388,0.4069881569318331
baseline_tarea4_04,Baseline logístico tarea4,0.75,0.7959183673469388,0.4117628984659265
baseline_tarea4_04,Baseline logístico tarea4,0.7647058823529411,0.7959183673469388,0.48776459835911173
baseline_tarea4_04,Baseline logístico tarea4,0.78,0.7959183673469388,0.4925709992553878
baseline_tarea4_04,Baseline logístico tarea4,0.7755102040816326,0.7755102040816326,0.5309970291263908
baseline_tarea4_04,Baseline logístico tarea4,0.7608695652173914,0.7142857142857143,0.5357838455449515
baseline_tarea4_04,Baseline logístico tarea4,0.7555555555555555,0.6938775510204082,0.5690589772465097
baseline_tarea4_04,Baseline logístico tarea4,0.75,0.673469387755102,0.5784659711021126
baseline_tarea4_04,Baseline logístico tarea4,0.7674418604651163,0.673469387755102,0.583148640205669
baseline_tarea4_04,Baseline logístico tarea4,0.7619047619047619,0.6530612244897959,0.6154653457924539
baseline_tarea4_04,Baseline logístico tarea4,0.75,0.6122448979591837,0.6200069955293493
baseline_tarea4_04,Baseline logístico tarea4,0.7692307692307693,0.6122448979591837,0.6290268597089258
baseline_tarea4_04,Baseline logístico tarea4,0.7631578947368421,0.5918367346938775,0.6379576422941697
baseline_tarea4_04,Baseline logístico tarea4,0.7837837837837838,0.5918367346938775,0.6467941502744349
baseline_tarea4_04,Baseline logístico tarea4,0.8,0.5714285714285714,0.6598613975443366
baseline_tarea4_04,Baseline logístico tarea4,0.8181818181818182,0.5510204081632653,0.6684411409766072
baseline_tarea4_04,Baseline logístico tarea4,0.8387096774193549,0.5306122448979592,0.6769104318675999
baseline_tarea4_04,Baseline logístico tarea4,0.8666666666666667,0.5306122448979592,0.6811023896776314
baseline_tarea4_04,Baseline logístico tarea4,0.8620689655172413,0.5102040816326531,0.6852652470884986
baseline_tarea4_04,Baseline logístico tarea4,0.8518518518518519,0.46938775510204084,0.6893985442081052
baseline_tarea4_04,Baseline logístico tarea4,0.84,0.42857142857142855,0.6935018385077755
baseline_tarea4_04,Baseline logístico tarea4,0.8333333333333334,0.40816326530612246,0.6975747048760256
baseline_tarea4_04,Baseline logístico tarea4,0.8636363636363636,0.3877551020408163,0.7016167356532158
baseline_tarea4_04,Baseline logístico tarea4,0.9,0.3673469387755102,0.7056275406474253
baseline_tarea4_04,Baseline logístico tarea4,0.8888888888888888,0.32653061224489793,0.7096067471319154
baseline_tarea4_04,Baseline logístico tarea4,0.8666666666666667,0.2653061224489796,0.7135539998245835
baseline_tarea4_04,Baseline logístico tarea4,0.9230769230769231,0.24489795918367346,0.7252007430796416
baseline_tarea4_04,Baseline logístico tarea4,0.9166666666666666,0.22448979591836735,0.7327997364323661
baseline_tarea4_04,Baseline logístico tarea4,0.9,0.1836734693877551,0.7365487754231331
baseline_tarea4_04,Baseline logístico tarea4,1.0,0.1836734693877551,0.7402638567931282
baseline_tarea4_04,Baseline logístico tarea4,1.0,0.14285714285714285,0.7439447620649731
baseline_tarea4_04,Baseline logístico tarea4,1.0,0.12244897959183673,0.7547804833421942
baseline_tarea4_04,Baseline logístico tarea4,1.0,0.08163265306122448,0.7721408147956847
baseline_tarea4_04,Baseline logístico tarea4,1.0,0.061224489795918366,0.7886163211943851
baseline_tarea4_04,Baseline logístico tarea4,1.0,0.04081632653061224,0.7918047086746257
baseline_tarea4_04,Baseline logístico tarea4,1.0,0.02040816326530612,0.8011564336620193
logit_regularizado_02,Logit multivariable regularizado,0.5384615384615384,1.0,0.0179930325591755
logit_regularizado_02,Logit multivariable regularizado,0.5444444444444444,1.0,0.02187278327182316
logit_regularizado_02,Logit multivariable regularizado,0.550561797752809,1.0,0.031303909216941796
logit_regularizado_02,Logit multivariable regularizado,0.5568181818181818,1.0,0.03611284204432922
logit_regularizado_02,Logit multivariable regularizado,0.5632183908045977,1.0,0.03682626031979682
logit_regularizado_02,Logit multivariable regularizado,0.5697674418604651,1.0,0.04205635859673857
logit_regularizado_02,Logit multivariable regularizado,0.5764705882352941,1.0,0.04246965772110054
logit_regularizado_02,Logit multivariable regularizado,0.5833333333333334,1.0,0.04322413462559925
logit_regularizado_02,Logit multivariable regularizado,0.5903614457831325,1.0,0.051076748241503614
logit_regularizado_02,Logit multivariable regularizado,0.5975609756097561,1.0,0.05675752233725446
logit_regularizado_02,Logit multivariable regularizado,0.6049382716049383,1.0,0.05966396093216705
logit_regularizado_02,Logit multivariable regularizado,0.6,0.9795918367346939,0.0668618723693785
logit_regularizado_02,Logit multivariable regularizado,0.6075949367088608,0.9795918367346939,0.06739912796467602
logit_regularizado_02,Logit multivariable regularizado,0.6153846153846154,0.9795918367346939,0.06747077197464102
logit_regularizado_02,Logit multivariable regularizado,0.6233766233766234,0.9795918367346939,0.06924376648029944
logit_regularizado_02,Logit multivariable regularizado,0.631578947368421,0.9795918367346939,0.07587399308301777
logit_regularizado_02,Logit multivariable regularizado,0.64,0.9795918367346939,0.08113087495564358
logit_regularizado_02,Logit multivariable regularizado,0.6486486486486487,0.9795918367346939,0.08136903744180105
logit_regularizado_02,Logit multivariable regularizado,0.6575342465753424,0.9795918367346939,0.09182623286398728
logit_regularizado_02,Logit multivariable regularizado,0.6666666666666666,0.9795918367346939,0.09614212219891852
logit_regularizado_02,Logit multivariable regularizado,0.676056338028169,0.9795918367346939,0.12145052487283094
logit_regularizado_02,Logit multivariable regularizado,0.6857142857142857,0.9795918367346939,0.12953027711770762
logit_regularizado_02,Logit multivariable regularizado,0.6956521739130435,0.9795918367346939,0.1422233350422265
logit_regularizado_02,Logit multivariable regularizado,0.7058823529411765,0.9795918367346939,0.14419767702699668
logit_regularizado_02,Logit multivariable regularizado,0.7164179104477612,0.9795918367346939,0.14504054160694235
logit_regularizado_02,Logit multivariable regularizado,0.7121212121212122,0.9591836734693877,0.15760746591567382
